Gene name	fold change	p-value
COPS9	1.19920315025067	1.6103656773796E-9
EFEMP1	-0.992222500805056	1.71660596222662E-9
CCDC167	1.9101823863453	1.74793653342447E-9
ALDH1A2	-7.98691811651506	1.77114210062795E-9
TIMM17B	2.09882042024897	1.8215855251908E-9
PDCD5	1.83564207892426	1.82440915822069E-9
VAMP5	2.19922046783547	1.82440915822069E-9
KPNA5	-3.70696290571961	1.83998938717162E-9
TMSB4X	1.36620332329262	1.88158827974639E-9
NUTF2	1.24315775970545	1.9341012127355E-9
SNRPB2	1.50208524498121	2.03051839603685E-9
0	1.75969598358642	2.05216685563244E-9
MRPL32	1.98395625559254	2.13277477746322E-9
EIF1B	2.06205401417934	2.30169115214018E-9
MRPS18C	1.41589737014109	2.3250738216306E-9
SELENOM	2.26093464911381	2.3385267576602E-9
0	-2.81346260062439	2.36192033371054E-9
SNRPG	1.28500503521276	2.39546084932463E-9
MGST3	1.91898023739597	2.42554770608239E-9
NPEPPSP1	8.2478166976604	2.45659045696808E-9
UQCC2	1.41162090153484	2.51057747914392E-9
TMSB4XP4	-0.85024995282676	2.51057747914392E-9
TIMM17B	1.98204104702296	2.59283681015001E-9
0	-1.4339961572947	2.62519470422585E-9
S100A11	1.65501858643833	2.65304721427947E-9
PCBD1	2.16269010342966	2.87652033441033E-9
DYNLRB1	1.7344182007207	3.00219034437421E-9
COA5	1.59878720527558	3.38951302387311E-9
NDUFA1	1.29415619175036	3.50700134324465E-9
YIPF4	1.06412352865195	3.62642804508996E-9
SNHG32	1.52079799120416	3.65789791610823E-9
RPS9	2.26067457490756	3.66112001363274E-9
GTF2A2	1.65176071425292	3.74479787546855E-9
CLCA4-AS1	-2.88578634619496	4.0846034367624E-9
CHURC1	1.42647407724267	4.08586386201704E-9
RPL31	1.32037121318781	4.18394124380787E-9
0	-2.79335400711178	4.28806687210052E-9
NIT2	2.63965863825683	4.43537515406179E-9
LSM3	1.42910873473101	4.52537715588445E-9
MAGED4B	-1.27798146009353	4.53654665580901E-9
XG	7.54271681248713	4.65502966813794E-9
NDUFAB1	1.79170546732341	5.07869624958176E-9
UXT	1.76236572174853	5.11071544598157E-9
COX6A1P2	1.25810343416733	5.11455149528745E-9
SNHG32	1.63363735428343	5.31319097014049E-9
MED31	1.26029843857943	5.53177262178081E-9
PRDX1	1.24357301308242	5.57600992308518E-9
ATP5MK	1.2531281303184	5.57600992308518E-9
RPS9	2.28394060321485	5.71032318544575E-9
NUDCD2	2.49400230554657	5.96556434251817E-9
CKS2	1.7919439157456	5.96728388546893E-9
KRTCAP2	1.37029171199263	6.11631893252257E-9
CALM2	1.00932598353631	6.21657387574363E-9
MAGOHB	1.75862832006687	6.22440143233675E-9
ZNG1E	1.93408493264939	6.35799249320616E-9
NDUFC1	1.2913590896571	6.37850969672495E-9
MAGOH	1.87291315493292	6.64820174450059E-9
NDUFA13	1.37450376696857	6.9085806112613E-9
RPS9	2.34764606323903	7.18836531726628E-9
TMSB10	1.48897179803917	7.75348583826401E-9
RAN	0.674370361332526	7.90164100188286E-9
NUDT4	-1.36979702658322	8.38596474941951E-9
AAMDC	1.17245071328247	8.47471663215305E-9
