"Log2MeanExon"	"Log2FC"	"pvalue"	"padj"
"MSTRG.2133:ENST00000528818.1"	1.582069413022	3.88586615166407	3.32439214396363e-09	1.95560539998569e-06
"MSTRG.23299:ENST00000467020.5"	11.4631001289816	-0.030405423036461	3.39380424887019e-09	1.98131320474572e-06
"MSTRG.23649:ENST00000678528.1"	3.77769800615385	2.14502322333581	3.85360911922882e-09	2.23283327778956e-06
"MSTRG.2147:ENST00000495447.5"	9.45055524191435	0.144921258138131	3.88458303521755e-09	2.23398311835772e-06
"MSTRG.19991:ENST00000475836.5"	11.0494751053705	0.0844557717155059	4.0294499417902e-09	2.30012941788323e-06
"ENSG00000104529.19:ENST00000526838.5"	7.40386379149974	-0.265433145678553	4.14358839502904e-09	2.34789124189506e-06
"MSTRG.8125:ENST00000655630.1"	2.90275731178679	-1.24972591173047	4.3772796554518e-09	2.46220383071844e-06
"MSTRG.4122:MSTRG.4122.34"	8.13364876129549	1.77912276428266	4.43158613297017e-09	2.47468761289092e-06
"MSTRG.2147:ENST00000367889.8"	9.4483886809102	0.124960530146438	4.98045380685245e-09	2.76117792276017e-06
"MSTRG.9345:MSTRG.9345.47"	5.08483035440329	1.66606862377949	5.39404475479624e-09	2.96911340638649e-06
"MSTRG.14219:ENST00000301244.12"	1.51065977338837	-5.14974169608313	5.43503305888144e-09	2.97045757151434e-06
"MSTRG.56:ENST00000457903.6"	3.87891884028454	1.0582673454351	5.58543702586597e-09	3.03116160624847e-06
"ENSG00000291948.1:ENST00000709310.1"	6.54864587986547	0.311679150269574	6.23252564543561e-09	3.35867756145846e-06
"MSTRG.4122:ENST00000680588.1"	8.11247681455019	1.7840296623381	6.49563781364041e-09	3.47615861940804e-06
"MSTRG.15517:ENST00000410022.7"	5.10741389834623	0.673488339146688	6.83993800026192e-09	3.63516760121506e-06
"MSTRG.2147:ENST00000367885.5"	9.45108815968202	0.122695516581992	7.14489661541576e-09	3.7712330340902e-06
"MSTRG.4122:MSTRG.4122.25"	8.11526081636416	1.79874838553376	7.33809069484828e-09	3.84685676956733e-06
"MSTRG.4788:MSTRG.4788.2"	3.29276625658261	-1.77464098965099	7.41665105425797e-09	3.86177002394073e-06
"MSTRG.5101:ENST00000534440.5"	8.80907024314156	-0.379244024815705	8.01733102038722e-09	4.14652055767168e-06
"MSTRG.4122:ENST00000408968.4"	8.07546025185385	1.79497046423795	8.21479670978694e-09	4.22032442699734e-06
"MSTRG.7794:ENST00000375926.5"	1.73422440178413	4.15786221324793	8.56343055996171e-09	4.3702985815349e-06
"MSTRG.15691:ENST00000642293.1"	8.18960606449243	0.226325180523352	9.82804765538851e-09	4.98269084486546e-06
"MSTRG.7170:ENST00000546355.4"	1.70295514937521	-13.4737520537321	9.89832393759504e-09	4.98552051816306e-06
"MSTRG.26030:MSTRG.26030.17"	1.64886129027615	2.94385416561408	1.00103293459712e-08	5.00919480557943e-06
"MSTRG.20566:ENST00000685788.2"	0.985986064974653	3.89211092003386	1.01310577699576e-08	5.03350180873992e-06
"MSTRG.7240:ENST00000382812.5"	1.76350493655716	-1.24317011590009	1.01895393600403e-08	5.03350180873992e-06
"MSTRG.19991:ENST00000295830.13"	11.027665725341	0.0777635258772147	1.03675197673652e-08	5.08880132683249e-06
"ENSG00000224398.7:ENST00000436169.5"	2.13965522537597	-1.33445793339295	1.13594565321411e-08	5.54039518531556e-06
"MSTRG.16892:ENST00000678325.1"	5.23216906339956	2.57370088540868	1.16396975019886e-08	5.64137338929712e-06
"MSTRG.13430:ENST00000589739.3"	6.54405263682589	-0.407974230459518	1.18574410079885e-08	5.71098824348508e-06
"MSTRG.4122:ENST00000328221.5"	8.11357623965556	1.78153039410706	1.22027135746021e-08	5.81819562104191e-06
"MSTRG.16348:MSTRG.16348.2"	5.88849860813541	-0.323584157819301	1.22310307364043e-08	5.81819562104191e-06
"MSTRG.15517:ENST00000303698.7"	5.12879616221406	0.701143395836827	1.27377988336802e-08	6.02208744614148e-06
"MSTRG.19153:MSTRG.19153.1"	3.00026905855306	-2.27989448241548	1.38838005744577e-08	6.52211750556392e-06
"MSTRG.13317:ENST00000586722.5"	3.66005326872067	-3.38469363701923	1.39647217619326e-08	6.52211750556392e-06
"MSTRG.17900:ENST00000588548.1"	2.22054421502288	-1.26908444179645	1.43241525682993e-08	6.64968581456794e-06
"MSTRG.6861:ENST00000462885.1"	8.84744939715726	1.47871270401415	1.4636660884171e-08	6.75407401829934e-06
"MSTRG.14812:MSTRG.14812.17"	2.65765174544289	2.15860244878663	1.49523159825254e-08	6.85866294193673e-06
"MSTRG.5:ENST00000425848.6"	3.14332680888269	0.360581638406728	1.52714526751977e-08	6.96360169263956e-06
"MSTRG.23649:ENST00000671327.1"	2.20650783780379	1.94792518558356	1.56855189635393e-08	7.06972138777248e-06
"MSTRG.7934:ENST00000557221.1"	5.96600947918729	-0.531911588388235	1.56876587333458e-08	7.06972138777248e-06
"MSTRG.13430:MSTRG.13430.4"	6.0899223833262	-0.364966709500308	1.76000323794098e-08	7.83984794926057e-06
"MSTRG.3806:ENST00000477279.1"	3.74064189603541	-1.54366803208176	1.75231087165062e-08	7.83984794926057e-06
"MSTRG.4788:MSTRG.4788.9"	3.86000151294589	-1.37378569033619	1.87850549104903e-08	8.31962012363335e-06
"ENSG00000241863.6:ENST00000455025.6"	5.61981556671814	-0.553607757761674	1.91986010442575e-08	8.45418624955755e-06
"MSTRG.12046:ENST00000700499.1"	1.31346118966373	-2.63209329579177	2.10677451668324e-08	9.22456010253656e-06
"MSTRG.23649:ENST00000683364.1"	-0.11840568586041	5.90585214811065	2.14637020268648e-08	9.34483505985454e-06
